Versión de tarifa,Valido desde,ID-Producto,Precio Estandar,Precio Tarifa
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0044,16.4,19.7
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-CURD-0010,11.8,14.2
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0045,12.5,15
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-CURD-0020,16.4,19.7
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-CURD-0022,17.3,20.8
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-CURD-0021,4.2,5
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0011,13.2,15.8
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0012,13.9,16.7
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0013,3.4,4.1
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0019,8.5,10.2
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0016,8.5,10.2
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0020,9,10.8
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0017,9,10.8
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0018,2.3,2.8
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0007,10.2,12.2
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0008,10.8,13
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0009,2.8,3.4
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0004,8.5,10.2
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0001,8.5,10.2
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0005,9,10.8
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0002,9,10.8
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0006,5.5,6.6
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0003,2.5,3
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0041,7.1,8.5
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0037,7.1,8.5
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0042,7.5,9
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0038,7.5,9
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0040,2,2.4
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0027,6,7.2
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0025,6,7.2
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0028,6.4,7.6
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0026,6.4,7.6
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0034,5.6,6.7
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0036,5.6,6.7
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0030,3.6,4.3
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0024,6.9,8.3
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PMPZ-0029,19.2,23
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGUN-0003,8.3,9.9
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGUN-0005,8.3,9.9
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGUN-0004,2.9,3.5
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGMD-0002,8.7,10.44
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGUN-0006,10.7,12.8
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGUN-0007,3.8,4.5
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGUN-0001,11,13.2
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGUN-0002,2.8,3.4
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGUN-0008,5.7,6.8
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGUN-0010,10.6,12.7
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGUN-0011,0,0
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGUN-0012,2.6,3.1
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGUN-0016,7.4,8.9
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGUN-0018,7.4,8.9
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGUN-0017,2.7,3.3
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGUN-0013,6.9,8.28
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGUN-0015,0,0
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGUN-0014,2.5,3
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGUN-0019,8,9.6
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGUN-0021,8,9.6
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGUN-0020,2.8,3.4
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGUN-0022,8.5,10.2
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGUN-0023,8,9.6
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PFUN-0004,6,7.2
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PFUN-0006,6,7.2
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PFUN-0005,3.5,4.2
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PFUN-0001,5.9,7.1
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PFUN-0003,5.9,7.1
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PFUN-0002,3.1,3.7
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PFUN-0009,3.7,4.4
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PFUN-0010,3.7,4.4
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-CRUD-0011,11.8,14.16
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-CRUD-0004,12,14.4
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-CRUD-0030,7.3,8.8
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-CRUD-0031,4,4.8
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-CURD-0023,8.5,10.2
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-CURD-0024,2.3,2.7
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGPZ-0007,8.8,10.6
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGPZ-0009,3.5,4.2
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGPZ-0008,4.9,5.9
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGPZ-0001,9.4,11.3
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGPZ-0003,3.602,4.3
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGPZ-0002,5.2,6.2
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGPZ-0005,0,0
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGPZ-0006,7.47,9
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGPZ-0018,5.23,6.3
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-CURD-0015,11,13.2
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-CURD-0016,6,7.2
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-CURD-0002,22.5,27
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-CURD-0003,11.7,14
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-CURD-0011,12.4,14.9
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-CURD-0013,13,15.6
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGPZ-0020,9.9,11.9
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGPZ-0018,5.5,6.6
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGPZ-0011,8.2,9.8
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGPZ-0012,4.6,5.5
PRECIOS PVP / PRECIO FABRICA,28/11/2022,03-MP-PROC-CARN-0024,3.4,4
PRECIOS PVP / PRECIO FABRICA,28/11/2022,03-MP-PROC-CARN-0024,1.7,2
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGPZ-0023,6.9,8.3
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGPZ-0024,7.3,8.8
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGPZ-0025,2.5,3
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGPZ-0027,3.9,4.7
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGPZ-0029,2.5,3
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGPZ-0022,7.8,9.4
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGMD-0003,9.4,11.3
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGMD-0004,9.9,11.9
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGMD-0005,2.3,2.8
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGMD-0007,8.1,9.7
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGMD-0008,8.6,10.3
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PGMD-0010,2.2,2.7
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PFPZ-0001,5.2,6.2
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PFPZ-0002,5.5,6.6
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PFPZ-0004,1.5,1.8
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PFPZ-0005,3.2,3.8
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PFPZ-0011,6.8,8.16
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PFPZ-0012,1.8,2.1
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PFPZ-0006,4.6,5.5
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PFPZ-0007,4.9,5.9
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-PFPZ-0008,3,3.6
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-CURD-0018,16.5,19.8
PRECIOS PVP / PRECIO FABRICA,28/11/2022,06-PROD-TERM-CURD-0017,16.5,19.8
